estado,corx,cory
Chihuahua,-182,229
Sonora,-329,248
Coahuila,-22,160
Nuevo Leon,65,91
Tamaulipas,107,33
Baja California,-502,270
Baja California Sur,-364,76
Sinaloa,-230,87
Durango,-122,56
Zacatecas,-49,0
San Luis Potosi,35,-38
Veracruz,181,-161
Nayarit,-123,-61
Jalisco,-78,-120
Aguascalientes,-30,-54
Colima,-84,-170
Michoacan,-9,-156
Guerrero,62,-225
Oaxaca,183,-252
Chiapas,333,-269
Guanajuato,16,-96
Queretaro,67,-99
Hidalgo,100,-180
Tlaxcala,126,-154
Morelos,91,-181
CDMX,91,-160
Estado de Mexico,69,-151
Puebla,129,-187
Campeche,411,-179
Tabasco,324,-206
Yucatan,456,-101
Quintana Roo,472,-160
